time,smaller,larger,outer,inner,updates
7.613,7552,38676,38676,4200,4197
3.644,11109,11214,11109,63,63
1.125,1992,11214,1992,40,40
0.043,40,63,7,5,5
7.11,11214,38676,38676,8203,3924
0.164,5,11214,5,4,3
3.652,11109,11214,11109,63,0
1.074,1992,11214,1992,40,0
5.621,3899,38676,38676,3156,3086
0.019,5,3899,5,0,0
3.774,3899,11109,11109,142,142
2.626,1992,3899,1992,977,977
0.254,205,971,156,150,150
5.193,2975,38676,38676,2939,2914
0.133,115,2975,115,0,0
3.88,2975,11109,11109,220,220
1.301,1992,2975,1992,217,217
0.298,217,425,374,153,141
4.746,2843,38676,38676,2078,2001
0.113,228,2843,228,13,13
3.871,2843,11109,11109,375,375
2.057,1992,2843,1992,627,627
0.422,627,800,751,355,226
4.485,1914,38676,38676,1503,1430
0.161,315,1914,315,1,1
3.71,1914,11109,11109,172,172
1.16,1914,1992,1992,50,50
0.334,50,972,892,108,60
4.211,1417,38676,38676,1847,1470
0.129,351,1417,351,5,5
3.794,1417,11109,11109,265,265
1.392,1417,1992,1992,245,245
0.444,245,1237,1124,353,283
3.878,1451,38676,38676,1033,729
0.144,421,1451,421,1,1
3.64,1451,11109,11109,152,152
1.127,1451,1992,1992,102,102
0.352,102,1389,1276,110,20
3.692,713,38676,38676,584,462
0.122,439,713,439,0,0
3.59,713,11109,11109,91,91
1.162,713,1992,1992,115,102
0.388,102,1480,1367,232,89
3.639,452,38676,38676,498,404
0.131,452,456,456,0,0
3.546,452,11109,11109,63,63
1.031,452,1992,1992,5,5
0.334,5,1543,1430,51,0
3.52,380,38676,38676,299,254
0.13,380,456,456,0,0
3.531,380,11109,11109,38,38
1.086,380,1992,1992,35,35
0.399,35,1581,1479,100,30
3.476,249,38676,38676,270,136
0.168,249,484,484,38,38
3.543,249,11109,11109,87,87
1.039,249,1992,1992,14,14
0.346,14,1668,1566,13,13
3.425,170,38676,38676,133,122
0.13,170,485,485,0,0
3.475,170,11109,11109,11,11
1.04,170,1992,1992,13,13
0.342,13,1679,1577,2,0
3.418,118,38676,38676,210,184
0.138,118,485,485,1,1
3.452,118,11109,11109,7,7
1.025,118,1992,1992,0,0
3.385,175,38676,38676,278,144
0.135,175,485,485,8,0
3.448,175,11109,11109,19,19
1.042,175,1992,1992,6,6
0.363,6,1705,1603,14,14
3.335,126,38676,38676,178,158
0.131,126,493,493,0,0
3.398,126,11109,11109,0,0
1.013,126,1992,1992,0,0
3.296,120,38676,38676,64,50
0.132,120,493,493,0,0
3.436,120,11109,11109,22,22
1.025,120,1992,1992,2,2
0.363,2,1727,1625,22,22
3.308,50,38676,38676,60,44
0.133,50,504,504,0,0
3.429,50,11109,11109,10,10
1.013,50,1992,1992,0,0
3.269,42,38676,38676,32,28
0.132,42,504,504,0,0
3.415,42,11109,11109,10,10
1.012,42,1992,1992,2,2
0.364,2,1747,1635,8,8
3.292,28,38676,38676,76,72
0.134,28,508,508,0,0
3.506,28,11109,11109,86,86
1.014,28,1992,1992,4,4
0.364,4,1833,1669,2,2
3.281,46,38676,38676,64,64
0.14,46,509,509,0,0
3.446,46,11109,11109,0,0
1.003,46,1992,1992,0,0
3.266,64,38676,38676,54,28
0.14,64,509,509,2,2
3.432,64,11109,11109,16,16
1.009,64,1992,1992,2,2
0.372,2,1849,1677,16,16
3.267,28,38676,38676,44,42
0.134,28,517,517,0,0
3.436,28,11109,11109,0,0
1.023,28,1992,1992,12,12
0.39,12,1849,1677,42,42
3.285,36,38676,38676,34,24
0.136,36,538,538,0,0
3.434,36,11109,11109,4,4
1.013,36,1992,1992,6,6
0.36,6,1853,1677,0,0
3.276,18,38676,38676,12,12
0.144,18,538,538,0,0
3.401,18,11109,11109,0,0
1.001,18,1992,1992,0,0
3.269,12,38676,38676,20,14
0.143,12,538,538,2,2
3.403,12,11109,11109,0,0
1.004,12,1992,1992,0,0
3.26,16,38676,38676,24,14
0.136,16,538,538,0,0
3.437,16,11109,11109,0,0
1.055,16,1992,1992,14,14
0.384,14,1853,1677,14,14
3.264,14,38676,38676,10,8
0.141,14,545,545,0,0
3.431,14,11109,11109,2,2
1.024,14,1992,1992,2,0
3.249,8,38676,38676,10,4
0.137,8,545,545,0,0
3.426,8,11109,11109,4,4
1.019,8,1992,1992,0,0
3.241,4,38676,38676,6,4
0.135,4,545,545,0,0
3.416,4,11109,11109,0,0
1.02,4,1992,1992,0,0
3.251,4,38676,38676,12,6
0.137,4,545,545,0,0
3.429,4,11109,11109,10,10
1.032,4,1992,1992,2,2
0.382,2,1869,1693,16,14
3.248,6,38676,38676,4,4
0.137,6,552,552,0,0
3.405,6,11109,11109,0,0
1.008,6,1992,1992,0,0
3.22,4,38676,38676,0,0
0.136,4,552,552,0,0
3.405,4,11109,11109,0,0
1.01,4,1992,1992,0,0
1.552,1869,2471,1693,3496,1648
1.094,1052,28596,1052,1524,1438
4.448,1008,38676,38676,4229,4175
0.314,1008,1052,1052,178,94
3.577,1008,11109,11109,31,31
1.114,1008,1992,1992,61,61
0.473,58,1900,1723,172,172
4.173,4251,38676,38676,2806,2657
0.295,1076,4251,1076,57,13
3.523,4251,11109,11109,29,29
1.069,1992,4251,1992,42,26
0.437,26,1929,1752,88,88
4.013,2169,38676,38676,2661,1781
0.301,1098,2169,1098,247,18
3.668,2169,11109,11109,114,114
1.156,1992,2169,1992,45,42
0.52,42,2043,1878,50,44
3.791,1597,38676,38676,1721,1501
0.265,1142,1597,1142,9,1
3.608,1597,11109,11109,85,85
1.044,1597,1992,1992,11,11
0.428,10,2128,1960,7,6
3.652,1250,38676,38676,1115,876
0.272,1148,1250,1148,18,1
3.728,1250,11109,11109,381,381
1.075,1250,1992,1992,40,40
0.528,40,2509,2339,361,124
3.623,872,38676,38676,1093,734
